label,text,Key
neutral,"The following data were obtained from one Male student 1 of Politics class 128 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:82.1936062257515, sd:11.944936458871652, max:98.61382370627028, min:61.59062995117253
ACC: mean:24.43831687355772, sd:9.165633800936678, max:36.71989905286498, min:5.678012776878859
EDA: mean:0.6168821929211534, sd:0.1375152979291134, max:0.7972897509858385, min:0.3389512616292263
TEMP: mean:30.118750415376383, sd:0.3690944846053051, max:30.688584663671385, min:29.58823034667197",128_1
engagement,"The following data were obtained from one Male student 1 of English class 151 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.19385336146563, sd:6.654104492267386, max:97.55142320501238, min:76.02122107411151
ACC: mean:33.413649630161586, sd:8.295321719781397, max:44.69672548830039, min:17.325578999601234
EDA: mean:0.4644630046024122, sd:0.0762435242324138, max:0.6464725132916389, min:0.3800274492007414
TEMP: mean:30.38695060115844, sd:0.3589886738826746, max:31.0, min:29.724519708816104",151_1
neutral,"The following data were obtained from one Male student 1 of Maths class 144 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:79.1169042897055, sd:11.563181287932348, max:98.27748892723588, min:63.40640322842797
ACC: mean:22.6458614659362, sd:13.926521422204084, max:51.61998289101591, min:5.509751516393983
EDA: mean:0.5334809765872215, sd:0.114081909227307, max:0.7791299968564157, min:0.3821718911417031
TEMP: mean:30.18879224822921, sd:0.1806673759946239, max:30.426617367747728, min:29.906733426560432",144_1
engagement,"The following data were obtained from one Male student 1 of Health class 117 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.2799709917904, sd:7.691732547122824, max:98.0629280921444, min:71.3847993773104
ACC: mean:31.98973694909413, sd:8.724159562159793, max:43.70598668593159, min:19.95117899335481
EDA: mean:0.4355000572817598, sd:0.1083699161061483, max:0.59415686206579, min:0.202835549987271
TEMP: mean:30.308303610066517, sd:0.1247610502500044, max:30.591945515414952, min:30.17809844398188",117_1
engagement,"The following data were obtained from one Male student 1 of Language class 148 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.09260035801836, sd:11.210468871295054, max:104.76437312275284, min:65.88864690992115
ACC: mean:36.43489912478567, sd:12.415517560481556, max:58.75400798645439, min:17.61875464822146
EDA: mean:0.4692181678049347, sd:0.0890193159255091, max:0.6770692857804397, min:0.3643916174091133
TEMP: mean:30.290461071219603, sd:0.1428863352641718, max:30.55938498606448, min:30.055309071054424",148_1
engagement,"The following data were obtained from one Male student 1 of Maths class 105 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.86828840057652, sd:8.425334290477997, max:112.45751979616828, min:76.74510952701624
ACC: mean:40.04917794733002, sd:12.182231481767571, max:56.76795812558066, min:20.212797510957213
EDA: mean:0.4902493408493032, sd:0.0978487589764867, max:0.6382024496475034, min:0.3510395179741419
TEMP: mean:30.17241711383598, sd:0.2573165747909405, max:30.682387579865157, min:29.876883842571296",105_1
disengagement,"The following data were obtained from one Male student 1 of Language class 122 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:77.25928706981937, sd:12.311432308157936, max:102.88031763899832, min:60.0
ACC: mean:12.179027183092732, sd:19.823193335069536, max:48.042387455209074, min:-30.54395957294829
EDA: mean:0.7107965740535345, sd:0.1595013451712803, max:0.9755989482874032, min:0.3523545287410482
TEMP: mean:30.081844475267427, sd:0.4156353335742371, max:30.71329465519827, min:29.5",122_1
disengagement,"The following data were obtained from one Male student 1 of English class 116 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:72.91573436177983, sd:8.684427799530873, max:85.91195764037097, min:60.0
ACC: mean:17.259160109465505, sd:12.975343246500543, max:30.990097152778237, min:-3.998300560055018
EDA: mean:0.713276306791915, sd:0.2011100669491332, max:1.0132191272976547, min:0.4377105888174417
TEMP: mean:30.130735604782963, sd:0.1494298493668164, max:30.486155658705783, min:29.90927831961687",116_1
engagement,"The following data were obtained from one Male student 1 of Politics class 129 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.34345997643808, sd:9.518220259823696, max:104.65474444462576, min:70.9741639576216
ACC: mean:35.02754538264308, sd:7.474764970656729, max:45.43264094022715, min:20.898316073433744
EDA: mean:0.3848594141404705, sd:0.0701906534273852, max:0.5017659020469123, min:0.2659125768668354
TEMP: mean:30.300148499792805, sd:0.2966208601503192, max:30.958095516209347, min:29.96207884859592",129_1
engagement,"The following data were obtained from one Male student 1 of Maths class 159 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:88.37341544764445, sd:7.734443036122889, max:97.7255444962673, min:72.29775280109544
ACC: mean:43.37778717345923, sd:11.246221132859022, max:63.60084538268795, min:30.96823574874113
EDA: mean:0.460356870008013, sd:0.0858851679920682, max:0.5580780725554622, min:0.2839039066484008
TEMP: mean:30.307606313493444, sd:0.1708032560526654, max:30.563288213333227, min:29.980812856044924",159_1
disengagement,"The following data were obtained from one Female student 2 of Health class 136 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:76.02386390847826, sd:8.740857860174, max:89.3637346122448, min:60.0
ACC: mean:16.950510339152153, sd:11.77010806040039, max:40.60361026032338, min:1.897068560048929
EDA: mean:0.8128611180240422, sd:0.1590947123792114, max:1.0948347185428875, min:0.6715709959270098
TEMP: mean:30.012043917173557, sd:0.3147909391530321, max:30.64267517248493, min:29.629442321138004",136_2
disengagement,"The following data were obtained from one Female student 2 of English class 104 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:71.93104616305573, sd:9.6603625854662, max:89.04605097587826, min:62.011733122749256
ACC: mean:21.81542188306087, sd:16.581769648977456, max:62.195402518396094, min:-2.208996388121374
EDA: mean:0.8147871378301559, sd:0.1593612411827255, max:1.0515306808149525, min:0.5226383827504152
TEMP: mean:30.08439294632216, sd:0.3137837564394979, max:30.728095252231228, min:29.61723827019492",104_2
engagement,"The following data were obtained from one Female student 2 of Language class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:93.96376427260424, sd:6.62012516780421, max:101.82158991037528, min:79.83064329012764
ACC: mean:45.00337840868062, sd:9.49513810950633, max:63.26932425873622, min:32.69131227079679
EDA: mean:0.4871520312775755, sd:0.0899262285072419, max:0.6663254723305461, min:0.3140143859020081
TEMP: mean:30.361602426519728, sd:0.1326272319867664, max:30.69436331994087, min:30.18839159636237",114_2
engagement,"The following data were obtained from one Female student 2 of Health class 154 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.98394362461491, sd:11.062011884107552, max:106.8115706944059, min:66.01194043379918
ACC: mean:38.469888829751774, sd:9.669692413903908, max:53.65524029234341, min:22.76813095216225
EDA: mean:0.4390005066567125, sd:0.1006696345079427, max:0.6346636996047665, min:0.2974474829075261
TEMP: mean:30.37887858943793, sd:0.1757788483901058, max:30.66094115101832, min:29.98711514395239",154_2
neutral,"The following data were obtained from one Female student 2 of Language class 124 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:73.49571328878037, sd:10.544400448046476, max:90.08772258786468, min:60.0
ACC: mean:33.43395554315789, sd:13.315563977659943, max:53.21316606075142, min:7.969148570347325
EDA: mean:0.5646554230046703, sd:0.0930135650758099, max:0.7304077962120581, min:0.4109962372968949
TEMP: mean:30.15184097557741, sd:0.2978822908720326, max:30.739305958054857, min:29.587479539472717",124_2
engagement,"The following data were obtained from one Female student 2 of Language class 140 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.80345611202917, sd:9.541174715033256, max:108.75260872625265, min:81.10812181910433
ACC: mean:42.87307393621718, sd:6.399796402260511, max:51.99355436586002, min:31.530632222944263
EDA: mean:0.4897967830264102, sd:0.0906739466753427, max:0.6642270358611864, min:0.3477207434801594
TEMP: mean:30.269816708248943, sd:0.2596570384226871, max:30.69349669082251, min:29.8828539815306",140_2
engagement,"The following data were obtained from one Female student 2 of Language class 123 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:88.62317703302729, sd:5.817118695186485, max:99.72729019259364, min:81.28376632061949
ACC: mean:42.90881085536789, sd:9.801834557006666, max:54.83927691457869, min:22.236078430157505
EDA: mean:0.409435877882895, sd:0.1195570574239657, max:0.5660826787378519, min:0.2
TEMP: mean:30.302318615615597, sd:0.2331658460526623, max:30.675189947658577, min:29.91085452533506",123_2
disengagement,"The following data were obtained from one Female student 2 of Language class 142 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:73.99695212585273, sd:6.316714268545783, max:82.99593209642978, min:60.0
ACC: mean:22.829149460146443, sd:13.343169683584437, max:55.38146370409514, min:11.713361322268282
EDA: mean:0.764526561494451, sd:0.2200381893597122, max:1.063256205717109, min:0.3155616932709466
TEMP: mean:30.29269005803652, sd:0.2508121414320535, max:30.9411954548334, min:30.03326115973283",142_2
disengagement,"The following data were obtained from one Female student 2 of Science class 159 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:78.02219684920955, sd:8.33543188419728, max:91.36453522870376, min:60.0
ACC: mean:21.759032458853348, sd:16.754963295490157, max:47.401767581419726, min:-2.634217074336384
EDA: mean:0.7366108371765808, sd:0.13833608055642, max:0.9891757594837458, min:0.5339923676108559
TEMP: mean:30.10718627729014, sd:0.4483361813477542, max:30.88835253187051, min:29.5",159_2
disengagement,"The following data were obtained from one Female student 2 of Politics class 104 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:68.35218910815526, sd:6.976508314568212, max:81.10714307744118, min:60.0
ACC: mean:24.50743257843732, sd:28.540642933512245, max:61.91554331410691, min:-26.98930286772432
EDA: mean:0.7386816388788101, sd:0.1449909514224343, max:0.95880034295169, min:0.5144249094565234
TEMP: mean:30.08103532088819, sd:0.2964391754031283, max:30.57744915049085, min:29.54245219326392",104_2
disengagement,"The following data were obtained from one Female student 2 of Politics class 110 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:72.42205190454553, sd:12.154702024628769, max:97.74178953328068, min:60.0
ACC: mean:16.97930121807082, sd:14.447879012989429, max:49.49238137736491, min:-7.246894892394483
EDA: mean:0.7938885224956029, sd:0.1265112894452295, max:1.0815784502387027, min:0.5718602371455731
TEMP: mean:30.26494751947265, sd:0.4429306966326684, max:31.0, min:29.620568957147324",110_2
neutral,"The following data were obtained from one Female student 2 of Health class 115 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:81.46476504028882, sd:12.009945396522136, max:100.07086864205245, min:60.0
ACC: mean:19.445491723319314, sd:7.419592839698081, max:31.27300276507047, min:6.217460953149217
EDA: mean:0.531921886722873, sd:0.0941374511218883, max:0.6983311810252525, min:0.3803542603714024
TEMP: mean:30.3272636501725, sd:0.2718904301040882, max:30.895798861994507, min:29.872306170598225",115_2
disengagement,"The following data were obtained from one Female student 2 of Language class 124 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:77.89779569915875, sd:9.118430898425803, max:101.91599420919349, min:68.51670546973618
ACC: mean:8.899539124503736, sd:18.68333764394236, max:35.220641702302515, min:-20.752030673144688
EDA: mean:0.7591641720138156, sd:0.1005716345922347, max:0.9128843348747367, min:0.6152298027313444
TEMP: mean:30.074535809875997, sd:0.2759318600726307, max:30.58657264215606, min:29.640857318677444",124_2
engagement,"The following data were obtained from one Female student 2 of Politics class 144 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.70474448985, sd:7.840943307737343, max:103.30750832343698, min:81.8659733645906
ACC: mean:35.39816443109193, sd:8.050773804469088, max:43.99928729996205, min:18.245334336461287
EDA: mean:0.4309853642365856, sd:0.1158498856956962, max:0.5690646274786342, min:0.2
TEMP: mean:30.142774491003784, sd:0.2651553411696409, max:30.48978879007566, min:29.65223942696377",144_2
engagement,"The following data were obtained from one Female student 2 of Language class 143 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.4063726522988, sd:12.118606052823871, max:106.26009713546937, min:71.86438602123259
ACC: mean:36.45987754279668, sd:6.608935273773684, max:49.965715016644914, min:28.269310591184443
EDA: mean:0.4992483447071676, sd:0.0929241777611884, max:0.6657308213265504, min:0.3746582129653816
TEMP: mean:30.29940793518205, sd:0.2442084136606908, max:30.803346811881656, min:29.963218427617576",143_2
neutral,"The following data were obtained from one Female student 2 of English class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:88.58185490287521, sd:9.13783088100146, max:105.980028138813, min:72.27778123543828
ACC: mean:29.595526747256717, sd:13.416910525009316, max:49.01867112737681, min:8.09465066561419
EDA: mean:0.5242048849218935, sd:0.1333255773514415, max:0.7967448555928387, min:0.3140372092748799
TEMP: mean:30.323015161530968, sd:0.182315000675014, max:30.682203672806, min:30.02507676842932",114_2
engagement,"The following data were obtained from one Female student 2 of Language class 125 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:94.7556652487189, sd:10.726255934075867, max:114.01683114180396, min:70.39237240844182
ACC: mean:39.78617778003645, sd:7.715583798957508, max:50.38283071433636, min:25.031680520441533
EDA: mean:0.4389905266320676, sd:0.0861366937305951, max:0.6169904504351407, min:0.3275701763710634
TEMP: mean:30.28261338870795, sd:0.157709232212564, max:30.59915787166141, min:30.078126955549475",125_2
disengagement,"The following data were obtained from one Female student 2 of Politics class 113 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.07356836074158, sd:12.349291893494916, max:102.69839142801902, min:65.22902881611134
ACC: mean:16.905428411261518, sd:21.083938960317507, max:49.085349322201296, min:-13.694558615653968
EDA: mean:0.7799972845579047, sd:0.1060876288333197, max:0.9716295121582892, min:0.6272701674866539
TEMP: mean:30.0651148828546, sd:0.3816597643298135, max:30.74893239821697, min:29.5",113_2
disengagement,"The following data were obtained from one Female student 2 of Health class 120 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:66.99757696780425, sd:6.759552094190252, max:78.1632012788366, min:60.0
ACC: mean:23.675603195133544, sd:18.494561738972685, max:51.922553506822965, min:-2.1531137992022025
EDA: mean:0.8116782271229118, sd:0.1356824367011032, max:1.0158377395004616, min:0.6002421841217562
TEMP: mean:30.08124582718259, sd:0.2582657848609562, max:30.622440999135836, min:29.792706094635204",120_2
disengagement,"The following data were obtained from one Female student 2 of Maths class 131 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:69.76620774308309, sd:9.404582763648424, max:85.97687225348605, min:60.0
ACC: mean:11.948533025871964, sd:17.729054924559872, max:33.912817134498894, min:-25.63632468491295
EDA: mean:0.7587743109557177, sd:0.0934768827577647, max:0.9222956024143072, min:0.5976267271532405
TEMP: mean:30.022982289899904, sd:0.4099202246917405, max:30.82012341439909, min:29.5",131_2
engagement,"The following data were obtained from one Female student 3 of Health class 116 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.2319481280381, sd:12.328893686490622, max:119.9310756784486, min:72.36809191303342
ACC: mean:38.128826207281904, sd:8.332239549642738, max:54.2467845846956, min:28.466713917412875
EDA: mean:0.4863374677491479, sd:0.0964423973721696, max:0.6373297776217546, min:0.3061722021682633
TEMP: mean:30.29374579608629, sd:0.2395352301034914, max:30.815631229810787, min:30.033116771436436",116_3
disengagement,"The following data were obtained from one Female student 3 of Politics class 147 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:74.89880040586999, sd:7.856732426598475, max:87.81117042729551, min:60.0
ACC: mean:28.351114938740977, sd:17.3898196396732, max:64.61214555633505, min:-1.1230835066438338
EDA: mean:0.7444015886953619, sd:0.1540566329069107, max:0.9475672601009798, min:0.4317217651487108
TEMP: mean:30.19374034368683, sd:0.3163729791094327, max:30.665381491314307, min:29.777156435425525",147_3
disengagement,"The following data were obtained from one Female student 3 of Science class 116 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:73.27696881838602, sd:10.5618878827083, max:95.26714798869942, min:60.0
ACC: mean:17.225562165579795, sd:11.763924598808975, max:39.37822899230815, min:-3.2227162408764443
EDA: mean:0.8132713819094087, sd:0.1109663755611109, max:1.0349822902342822, min:0.6038206042994038
TEMP: mean:30.110164680990003, sd:0.271624078696226, max:30.48747823425044, min:29.5",116_3
neutral,"The following data were obtained from one Female student 3 of Politics class 127 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:78.59322170014804, sd:11.670838393921883, max:100.5273604709831, min:60.604272698760944
ACC: mean:33.9301841801814, sd:10.816626185229978, max:53.73457147513172, min:14.903858171375663
EDA: mean:0.5852391385771152, sd:0.0728832209810372, max:0.6894253963129828, min:0.4387176238971311
TEMP: mean:30.24461939885149, sd:0.3895999895525036, max:30.683683477396592, min:29.5",127_3
engagement,"The following data were obtained from one Female student 3 of Health class 123 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.47758939104244, sd:7.7443594462698755, max:104.95051040430752, min:74.79977488779295
ACC: mean:40.435997851892, sd:10.513642674246718, max:59.70942717497814, min:21.98034188102832
EDA: mean:0.4198906028062952, sd:0.0927966054445338, max:0.5840450446023144, min:0.2995279625968998
TEMP: mean:30.25486317954212, sd:0.1966036367274641, max:30.56900178464965, min:29.831206882588564",123_3
